Check list cho project Maintanence,,,,,,
,,,,,,
,Nhóm đối tác (Phát triển - Đồ án): Nhóm 11,,,,Nhóm kiểm tra,Nhóm 12
,,,,,,
,Tên Project: Website hỗ trợ giảng dạy IELTS trực tuyến bằng WebRTC tích hợp AI chấm điểm (Idest),,,,,
,,,,,,
,Ngày: 27/05/2026,,,,,
,,,,,,
,"Note: Evaluation:   5=Excellent,   4= Very Good,    3=Satisfactory,    2=Need Improvement,    1=Need Extensive Improvement",,,,,
,,Đánh giá,,,,
,Cơ sở chấm điểm,Nhóm kiểm tra,Giáo viên,Chú thích,,
1.,Source code,,,,,
1,Độ phức tạp,4.5,,,,
2,Tính dễ đọc/ dễ hiểu,5,,,,
3,Code standard,5,,,,
4,Cài đặt chương trình,5,,,,
5,Dễ bảo trì,5,,,,
2.,Chạy ứng dụng,,,,,
6,"Loại ứng dụng, Platforms",5,,,,
7,"Chạy tốt, ổn định",4.5,,,,
8,Chức năng đầy đủ,5,,,,
9,Giao diện thân thiện,5,,,,
10,Lỗi chương trình,5,,,,
11,Hiệu năng,4.5,,,,
10,,,,,,
11,,,,,,
3.,Sưu liệu,,,,,
12,Độ phức tạp,5,,,,
13,Tính dễ đọc/ dễ hiểu,5,,,,
14,Document Standard,5,,,,
15,"Đặc tả chức năng, hệ thống, dữ liệu, giao diện",5,,,,
16,"Hướng dẫn sử dụng (User guide), cài đặt",5,,,,
4.,Kiểm thử,,,,,
19,Vận dụng các loại kiểm thử,4.5,,,,
20,Công cụ,4.5,,,,
5.,Vận dụng các loại tools,,,,,
23,Tools phát triển dự án,5,,,,
24,Vận dụng các loại kiểm soát bug,4.5,,,,
25,Tools kiểm soát report,4.5,,,,
26,Tools quản lý cấu hình,5,,,,
6.,Qui trình,,,,,
27,,*****,*****,,,
28,,*****,*****,,,
29,,*****,*****,,,
7.,Phối hợp làm việc,,,,,
30,Giao tiếp nhóm,5,,,,
31,Phân chia công việc,5,,,,
32,Code Review,5,,,,
33,Quản lý xung đột,5,,,,
34,Chia sẻ kiến thức,5,,,,
35,Tinh thần đồng đội,5,,,,
8.,Phản hồi khách hàng,,,,,
36,Cơ chế thu thập feedback,5,,,,
37,Phân tích phản hồi,4.5,,,,
38,Cải tiến dựa trên phản hồi,5,,,,
Total,,166,,Tỷ lệ đạt: ~97.6%,,
,,,,,,
Đánh giá tổng quát,,,,,,
"Đánh giá tổng thể của Nhóm kiểm tra: EXCELLENT (Xuất sắc) - 5/5

1. Kiến trúc và Mã nguồn (Source Code): Dự án Idest là một sản phẩm có tính hoàn thiện cực kỳ cao. Nhóm phát triển đã tổ chức codebase dưới dạng monorepo chuẩn hóa bằng pnpm, chia nhỏ các dịch vụ (Next.js, NestJS server, NestJS assignments, FastAPI AI) rất mạch lạc. Mã nguồn sạch đẹp, dễ đọc, tuân thủ nghiêm ngặt các quy chuẩn code của TypeScript và NestJS.

2. Vận hành và Tính ổn định (Stability): Ứng dụng tích hợp thành công các công nghệ phức tạp như WebRTC (LiveKit) cho cuộc gọi trực tiếp, kết hợp chấm điểm IELTS tự động bằng AI qua hàng đợi RabbitMQ rất mượt mà và ổn định. Hiệu năng ứng dụng cao, giao diện responsive, hiện đại và thân thiện với người dùng.

3. Tài liệu và Hướng dẫn (Documentation): Hệ thống tài liệu đặc tả (Use Cases, Class Diagram, ERD, spec, implementation plan) vô cùng đầy đủ và chuyên nghiệp, giúp nhóm bảo trì dễ dàng tiếp cận và triển khai thêm các module mới (như Game và Progress Tracking).

4. Kiểm thử và Công cụ (Testing & Tools): Nhóm đã áp dụng tốt unit test với Jest và E2E test cho các hàng đợi, đồng thời sử dụng linh hoạt các công cụ quản lý cấu hình và kiểm soát bug hiện đại (GitHub, Docker, ESLint).",,,,,,
,,,,,,
Chữ ký Nhóm kiểm tra,,,,Chữ ký Giáo viên,,
Nhóm 8 (Đã ký),,,,.................................,,
